CO(GT),NOx(GT),Time,T
4.5,251.0,19,15.5
3.9,210.0,20,15.4
4.0,249.0,21,15.2
2.2,143.0,22,14.7
2.1,127.0,23,14.2
1.7,104.0,00,13.8
1.6,86.0,01,13.9
1.3,74.0,02,13.9
0.8,42.0,05,13.6
0.8,63.0,06,13.6
1.1,115.0,07,13.5
2.1,170.0,08,13.8
2.4,147.0,09,14.6
2.6,166.0,10,15.0
2.8,195.0,11,15.4
2.6,182.0,12,16.3
2.6,168.0,13,17.1
2.1,125.0,14,19.0
1.7,95.0,15,19.5
1.6,79.0,16,19.5
2.1,119.0,17,19.1
2.3,142.0,18,18.5
3.5,215.0,19,17.4
3.9,229.0,20,17.1
3.3,206.0,21,16.4
2.3,147.0,22,16.2
2.1,122.0,23,15.9
2.8,175.0,00,15.7
2.1,133.0,01,15.1
1.6,89.0,02,15.6
1.1,55.0,05,14.9
0.7,24.0,06,14.5
0.8,72.0,07,14.2
1.2,122.0,08,14.5
1.4,111.0,09,15.3
1.7,123.0,10,16.3
1.8,106.0,11,18.9
1.8,103.0,12,19.4
1.9,102.0,13,20.8
1.3,48.0,14,21.4
1.6,63.0,15,21.2
1.9,98.0,16,20.3
2.3,132.0,17,19.4
3.8,173.0,18,18.5
3.5,185.0,19,17.8
4.3,266.0,20,17.9
2.8,188.0,21,17.4
1.9,122.0,22,17.0
1.9,112.0,23,16.4
1.7,93.0,00,16.1
1.5,74.0,01,15.8
0.6,23.0,02,16.3
0.3,15.0,05,16.5
0.6,41.0,06,16.4
1.2,86.0,07,15.7
3.6,226.0,08,15.8
3.7,214.0,09,17.4
1.8,115.0,10,17.9
1.6,124.0,11,18.5
1.9,122.0,12,21.0
2.0,107.0,13,21.3
2.2,133.0,14,21.3
2.1,130.0,15,21.3
2.3,150.0,16,21.3
2.6,138.0,17,20.2
3.8,213.0,18,17.0
4.4,232.0,19,15.6
4.5,238.0,20,15.3
3.3,180.0,21,14.5
2.0,128.0,22,13.9
1.1,65.0,23,14.5
0.9,53.0,00,13.8
0.8,47.0,01,14.0
0.7,51.0,02,13.0
0.3,13.0,05,8.8
0.5,33.0,06,9.6
1.1,103.0,07,9.8
3.0,224.0,08,10.0
3.8,244.0,09,11.2
3.4,237.0,10,12.0
3.0,220.0,11,12.8
2.7,207.0,12,13.1
3.5,208.0,13,13.8
2.8,160.0,14,16.0
1.9,131.0,15,14.1
2.0,128.0,16,12.0
3.0,176.0,17,13.6
1.9,107.0,18,13.7
2.7,131.0,19,11.7
3.3,166.0,20,11.5
1.7,89.0,21,12.6
1.3,81.0,22,12.0
1.3,78.0,23,11.0
1.2,70.0,00,11.1
1.1,76.0,01,10.8
0.9,43.0,02,11.3
0.6,34.0,05,10.9
0.8,43.0,06,10.8
1.2,79.0,07,10.4
3.1,174.0,08,11.0
4.4,235.0,09,11.2
3.4,218.0,10,12.1
1.7,136.0,11,15.1
1.5,117.0,12,15.6
1.7,119.0,13,16.9
2.2,126.0,14,16.6
2.7,197.0,16,9.6
2.8,195.0,17,11.7
2.7,156.0,18,10.7
4.5,247.0,19,10.7
3.5,190.0,20,10.8
2.6,169.0,21,10.3
1.7,118.0,22,10.1
1.3,81.0,23,10.4
1.3,80.0,00,10.3
1.0,42.0,01,11.0
0.7,38.0,02,9.1
0.5,18.0,04,9.3
0.5,12.0,05,9.9
0.6,43.0,06,7.6
1.1,84.0,07,8.1
2.7,184.0,08,8.7
3.5,202.0,09,8.6
2.3,133.0,10,9.7
1.6,130.0,11,11.0
1.3,106.0,12,13.6
2.0,132.0,13,14.2
1.9,106.0,14,14.2
1.9,125.0,15,16.0
2.2,138.0,16,17.7
2.0,120.0,17,17.1
2.9,158.0,18,14.9
5.2,253.0,19,13.4
4.6,231.0,20,12.6
2.5,150.0,21,12.2
1.5,99.0,22,10.6
1.2,75.0,23,9.9
1.7,93.0,00,9.6
1.4,79.0,01,9.7
1.2,67.0,02,9.4
0.7,45.0,04,8.0
0.8,72.0,05,7.7
0.9,103.0,06,8.0
1.6,132.0,07,8.5
3.4,239.0,08,9.8
3.8,275.0,09,11.2
3.1,232.0,10,14.8
2.7,180.0,11,16.8
2.0,112.0,12,19.2
2.3,116.0,13,19.1
1.9,103.0,14,16.3
1.3,89.0,15,14.2
1.9,112.0,16,13.4
2.3,127.0,17,14.2
2.4,125.0,18,12.1
2.7,120.0,19,10.4
2.6,120.0,20,10.0
1.5,99.0,21,9.8
1.2,79.0,22,9.7
1.1,66.0,23,9.9
1.5,94.0,00,9.4
1.0,70.0,01,8.6
1.2,75.0,02,8.1
0.8,32.0,05,8.2
0.9,54.0,06,6.3
1.1,68.0,07,7.2
1.5,98.0,08,7.2
1.8,128.0,09,11.1
2.1,129.0,10,15.5
2.1,130.0,11,17.8
1.9,111.0,12,17.6
2.1,106.0,13,19.1
2.5,137.0,14,17.7
1.9,113.0,15,17.8
2.2,122.0,16,18.7
2.3,137.0,17,17.1
2.7,165.0,18,15.8
3.0,196.0,19,14.7
2.8,174.0,20,13.6
2.2,140.0,21,12.5
1.6,102.0,22,11.8
2.1,130.0,23,10.9
2.3,121.0,00,10.9
2.3,111.0,01,10.3
1.7,87.0,02,9.3
1.3,77.0,04,8.3
0.8,39.0,05,9.6
1.1,77.0,06,7.7
1.4,91.0,07,7.4
1.3,105.0,08,9.7
1.9,133.0,09,12.5
2.3,128.0,10,16.8
2.3,126.0,11,19.2
1.8,92.0,12,21.3
1.4,66.0,13,21.2
1.0,50.0,14,18.6
1.4,70.0,15,18.0
1.3,73.0,16,18.2
1.3,77.0,17,17.0
1.4,86.0,18,15.6
1.9,93.0,19,14.1
1.8,105.0,20,13.4
1.1,67.0,21,12.3
1.1,63.0,22,11.9
1.1,63.0,23,11.5
0.9,46.0,00,10.6
0.6,21.0,01,10.7
0.5,22.0,02,10.4
0.6,39.0,04,11.3
0.7,55.0,05,10.1
0.9,76.0,06,9.9
2.9,181.0,07,8.1
4.1,259.0,08,10.9
1.5,118.0,09,11.8
1.5,119.0,10,13.9
1.5,123.0,11,15.6
1.4,92.0,12,16.5
1.6,91.0,13,17.5
1.5,103.0,14,17.9
1.4,102.0,15,18.2
1.5,94.0,16,18.0
1.9,98.0,17,17.0
2.5,126.0,18,16.1
2.1,108.0,19,14.5
1.6,95.0,20,13.2
1.2,78.0,21,13.1
1.1,61.0,22,13.5
1.0,55.0,23,12.4
1.0,57.0,00,13.1
0.7,41.0,01,11.6
0.7,46.0,02,10.5
0.7,52.0,05,12.9
1.1,111.0,06,11.3
2.6,191.0,07,11.9
4.0,244.0,08,13.3
4.2,283.0,09,16.3
4.7,320.0,10,17.9
3.9,249.0,11,18.3
3.7,219.0,12,20.8
3.4,200.0,13,22.4
2.2,138.0,14,20.9
1.9,118.0,15,19.1
1.6,99.0,16,18.1
2.1,112.0,17,17.3
2.2,117.0,18,15.8
2.7,129.0,19,15.9
2.4,132.0,20,15.9
1.3,73.0,21,15.0
1.2,68.0,22,15.1
1.5,80.0,23,14.9
1.3,68.0,00,14.8
1.0,44.0,01,14.8
0.9,47.0,02,14.8
0.5,15.0,04,14.5
0.6,44.0,05,14.6
1.0,85.0,06,14.4
3.1,207.0,07,13.8
4.1,230.0,08,13.2
2.2,181.0,09,10.4
1.7,144.0,10,11.5
1.9,140.0,11,12.2
2.9,204.0,12,12.3
2.2,149.0,13,11.3
2.6,171.0,14,13.6
3.1,195.0,15,14.9
2.3,152.0,16,15.7
2.4,128.0,17,15.2
2.8,121.0,18,15.5
2.7,142.0,19,14.3
2.3,131.0,20,13.2
1.5,81.0,21,12.6
1.4,60.0,22,12.3
1.2,57.0,23,12.0
1.6,96.0,00,12.0
1.2,85.0,01,11.5
1.1,50.0,02,10.7
0.7,57.0,04,10.2
0.9,64.0,05,11.0
1.7,153.0,06,9.6
4.2,342.0,07,9.5
6.2,378.0,08,11.9
4.6,304.0,09,16.2
2.8,192.0,10,19.2
1.6,130.0,11,19.7
1.7,106.0,12,20.6
1.7,102.0,13,21.8
3.3,163.0,17,23.6
4.2,211.0,18,22.8
5.5,267.0,19,20.8
4.9,269.0,20,18.3
2.5,154.0,21,16.8
2.0,127.0,22,15.8
2.0,122.0,23,14.9
2.0,126.0,00,14.1
1.3,84.0,01,13.3
1.0,58.0,02,13.3
0.7,56.0,05,11.3
1.1,91.0,06,11.4
2.6,159.0,07,11.9
3.9,190.0,08,12.6
5.0,249.0,09,13.6
3.3,196.0,10,16.9
2.9,180.0,11,19.4
3.1,167.0,12,22.9
3.0,159.0,13,23.6
2.7,152.0,14,24.7
2.7,149.0,15,26.1
2.6,143.0,16,27.6
3.7,185.0,17,26.9
4.5,223.0,18,24.3
4.7,215.0,19,21.2
5.5,271.0,20,19.4
3.0,180.0,21,18.5
1.9,115.0,22,17.8
2.3,149.0,23,16.8
1.6,98.0,00,17.1
1.3,73.0,01,16.2
1.2,69.0,02,15.1
0.8,60.0,04,14.5
0.8,56.0,05,13.7
0.9,73.0,06,13.9
2.0,159.0,07,13.3
3.0,203.0,08,15.1
3.1,211.0,09,17.0
3.1,236.0,10,15.6
3.0,228.0,11,16.6
3.2,206.0,12,17.0
3.1,188.0,13,18.0
2.5,158.0,14,19.5
2.1,124.0,15,21.6
2.0,98.0,16,22.2
3.2,160.0,17,20.3
4.1,194.0,18,19.7
3.9,174.0,19,18.8
3.1,157.0,20,17.9
2.0,109.0,21,17.5
1.7,85.0,22,17.4
1.6,90.0,23,17.0
1.0,61.0,00,16.6
0.8,36.0,01,15.9
0.5,25.0,02,15.0
0.5,24.0,04,14.1
0.8,73.0,05,14.6
1.7,164.0,06,14.4
4.5,329.0,07,15.3
6.2,302.0,08,16.2
4.4,256.0,09,18.4
2.9,182.0,10,19.6
1.6,105.0,11,20.2
2.6,136.0,12,20.9
2.9,167.0,13,20.4
2.5,166.0,14,19.3
1.9,115.0,15,18.6
1.9,109.0,16,18.8
2.7,143.0,17,17.5
3.0,159.0,18,16.8
3.3,181.0,19,16.3
3.2,178.0,20,15.6
1.8,91.0,21,15.7
1.3,76.0,22,15.8
1.1,66.0,23,15.7
0.9,56.0,00,15.7
0.7,35.0,01,15.6
0.4,21.0,02,15.6
0.3,12.0,04,15.7
0.3,22.0,05,15.3
0.8,55.0,06,14.2
2.8,152.0,07,14.3
3.1,153.0,08,15.0
2.3,152.0,09,13.6
1.6,112.0,10,16.1
1.5,119.0,11,16.6
1.6,122.0,12,17.4
1.8,115.0,13,18.1
1.4,84.0,14,14.4
1.9,146.0,15,10.9
1.2,65.0,16,16.4
2.3,120.0,17,18.0
3.3,185.0,18,14.7
3.1,157.0,19,11.3
3.3,174.0,20,10.0
1.2,62.0,21,9.8
1.3,81.0,22,9.3
1.9,118.0,23,9.6
1.4,95.0,00,9.3
1.5,84.0,01,9.0
1.1,56.0,02,8.2
0.8,69.0,05,8.1
1.1,74.0,06,8.1
2.6,161.0,07,8.1
5.1,308.0,08,9.9
4.2,300.0,09,13.0
2.6,189.0,10,16.5
2.4,164.0,11,19.3
2.1,122.0,12,21.5
2.6,166.0,13,20.4
2.8,181.0,14,20.6
2.5,127.0,15,20.6
1.9,106.0,16,21.0
3.6,192.0,17,21.5
4.6,241.0,18,19.3
6.3,326.0,19,18.0
4.3,232.0,20,15.8
1.6,92.0,21,15.3
1.4,95.0,22,14.1
2.3,157.0,23,12.0
1.3,83.0,00,12.0
1.7,118.0,01,11.5
1.7,101.0,02,11.4
0.8,46.0,04,10.8
1.0,81.0,05,10.2
1.4,112.0,06,10.8
1.7,150.0,07,11.0
2.0,138.0,08,12.4
2.0,124.0,09,15.0
1.9,124.0,10,16.6
2.1,115.0,11,18.0
1.8,101.0,12,20.6
1.5,90.0,13,19.9
1.3,90.0,14,19.8
1.4,89.0,15,21.4
1.5,92.0,16,22.1
1.7,103.0,17,21.1
2.0,122.0,18,18.3
2.5,159.0,19,16.1
2.4,172.0,20,14.8
2.0,125.0,21,13.2
2.9,187.0,22,12.3
2.5,174.0,23,11.8
1.4,75.0,00,11.2
1.2,48.0,01,11.0
1.0,61.0,02,9.3
0.7,38.0,05,7.7
0.8,41.0,06,7.4
0.9,51.0,07,8.2
1.1,61.0,08,8.7
1.0,47.0,09,13.0
1.6,87.0,10,17.4
1.8,107.0,11,20.2
2.6,161.0,12,22.7
1.1,61.0,13,22.3
0.6,26.0,14,22.2
0.9,42.0,15,22.0
1.0,55.0,16,21.0
1.2,65.0,17,19.6
1.4,75.0,18,17.9
2.0,93.0,19,16.4
1.1,63.0,20,15.6
1.1,60.0,21,15.5
1.1,63.0,22,14.5
1.1,66.0,23,14.2
0.7,41.0,00,13.7
0.6,42.0,01,14.1
0.7,36.0,02,14.6
0.3,16.0,04,13.9
0.3,16.0,05,13.5
0.4,33.0,06,13.9
0.5,39.0,07,13.5
0.6,45.0,08,13.3
0.8,63.0,09,13.4
1.0,71.0,10,13.0
1.3,104.0,11,12.7
1.1,85.0,12,12.1
0.6,53.0,13,11.2
0.7,58.0,14,10.7
1.2,89.0,15,11.4
1.4,96.0,16,9.9
1.2,88.0,17,10.3
1.3,100.0,18,11.0
1.8,127.0,19,10.6
1.2,88.0,20,10.6
0.8,66.0,21,10.6
0.8,61.0,22,10.3
0.8,54.0,23,10.4
0.7,46.0,00,10.7
0.5,25.0,01,10.5
0.3,18.0,02,10.5
0.3,21.0,04,11.1
0.7,76.0,05,10.1
1.6,149.0,06,10.0
3.9,328.0,07,11.0
4.5,282.0,08,12.0
2.7,206.0,09,12.8
1.6,133.0,10,12.6
1.6,137.0,11,13.8
1.6,116.0,12,15.1
1.5,112.0,13,16.3
1.8,128.0,14,16.6
2.1,145.0,15,15.8
1.7,110.0,16,16.3
3.0,184.0,17,16.1
4.6,243.0,18,15.3
5.0,259.0,19,14.7
3.5,205.0,20,14.1
2.1,144.0,21,13.5
2.1,152.0,22,12.3
1.5,108.0,23,11.6
1.1,64.0,00,11.5
0.9,73.0,01,10.9
0.7,47.0,02,11.1
0.9,79.0,05,10.2
1.6,113.0,06,10.3
3.9,263.0,07,10.8
5.0,275.0,08,13.3
4.3,263.0,09,15.8
2.7,183.0,10,19.5
2.1,147.0,11,21.1
2.1,132.0,12,18.4
3.9,309.0,09,13.5
3.8,327.0,10,15.0
3.8,299.0,11,17.1
3.9,257.0,12,18.4
3.5,195.0,13,19.3
4.0,231.0,14,19.2
3.0,170.0,15,21.5
3.1,192.0,16,19.6
5.2,251.0,17,19.6
5.9,289.0,18,18.3
7.3,351.0,19,17.4
6.1,319.0,20,16.8
4.6,264.0,21,16.2
2.5,144.0,22,14.9
2.2,119.0,23,13.9
2.0,120.0,00,13.7
1.9,96.0,01,13.4
1.6,77.0,02,12.8
1.0,63.0,04,11.9
1.2,97.0,05,11.6
2.0,180.0,06,11.7
4.5,352.0,07,12.8
4.1,279.0,08,13.8
2.6,186.0,09,15.3
2.3,169.0,10,16.6
2.6,172.0,11,17.6
2.4,127.0,12,19.2
4.3,230.0,13,15.7
4.6,280.0,14,14.5
4.0,242.0,15,14.4
4.7,250.0,16,14.6
5.7,309.0,17,14.6
5.2,270.0,18,14.0
6.4,323.0,19,13.9
6.0,307.0,20,13.8
3.4,224.0,21,13.5
2.7,166.0,22,13.1
3.1,171.0,23,12.8
2.6,169.0,00,12.7
2.2,120.0,01,12.5
1.9,103.0,02,12.7
0.6,59.0,05,14.2
0.8,72.0,06,14.3
4.0,244.0,07,14.0
5.6,351.0,08,15.4
5.0,358.0,09,19.1
3.2,245.0,10,23.7
3.8,240.0,11,26.9
3.3,179.0,12,29.7
3.0,160.0,13,29.2
3.2,174.0,14,29.6
4.4,260.0,15,30.0
4.6,281.0,16,29.5
5.2,284.0,17,27.0
4.8,250.0,18,24.9
5.6,281.0,19,23.1
4.6,230.0,20,21.5
1.8,98.0,21,20.5
2.2,121.0,22,19.2
2.0,110.0,23,18.8
2.8,161.0,00,18.2
2.6,148.0,01,16.1
1.8,109.0,02,16.3
0.7,71.0,05,14.8
0.9,75.0,06,14.0
1.5,106.0,07,14.6
2.5,166.0,08,16.7
3.0,188.0,09,20.0
2.6,161.0,10,23.9
2.6,139.0,11,26.8
2.6,134.0,12,27.2
1.9,84.0,13,26.9
2.0,98.0,14,24.3
1.7,91.0,15,25.6
1.9,99.0,16,27.0
1.8,90.0,17,27.5
2.8,147.0,18,24.9
3.5,177.0,19,23.4
3.4,162.0,20,21.2
2.0,88.0,21,15.6
1.1,53.0,22,12.9
1.3,68.0,23,11.5
1.2,61.0,00,12.2
1.3,71.0,01,12.4
1.0,63.0,02,12.7
0.3,14.0,05,12.5
0.5,34.0,06,12.8
0.6,42.0,07,13.5
0.6,40.0,08,14.4
0.8,48.0,09,15.1
1.0,61.0,10,16.6
0.9,58.0,11,17.2
1.0,57.0,12,17.4
0.8,54.0,13,17.9
0.7,41.0,14,18.3
0.9,57.0,15,19.4
1.3,83.0,16,20.2
1.4,81.0,17,19.6
1.5,98.0,18,18.5
2.7,124.0,19,17.8
2.5,133.0,20,16.6
1.4,100.0,21,15.5
2.8,116.0,22,14.8
2.1,102.0,23,14.5
1.1,55.0,00,14.1
0.7,33.0,01,14.2
0.4,17.0,02,14.1
0.4,35.0,05,13.9
0.8,70.0,06,14.0
1.9,116.0,07,14.4
2.1,134.0,08,15.0
1.4,113.0,09,16.3
1.4,110.0,10,18.3
1.3,98.0,11,18.8
1.5,96.0,12,19.6
1.6,95.0,13,20.2
1.3,86.0,14,19.7
1.4,86.0,15,20.7
1.5,91.0,16,20.0
2.2,119.0,17,18.6
3.2,147.0,18,18.3
3.0,135.0,19,17.8
2.6,124.0,20,17.3
1.6,89.0,21,17.3
1.5,79.0,22,16.4
1.2,63.0,23,16.0
0.8,39.0,00,15.4
0.7,25.0,01,15.7
0.5,19.0,02,15.6
0.7,58.0,05,15.5
1.4,112.0,06,14.4
4.1,314.0,07,15.9
4.6,240.0,08,18.1
1.9,128.0,09,19.6
1.9,141.0,10,22.8
1.7,118.0,11,24.8
2.4,132.0,12,27.2
3.0,150.0,13,28.2
2.0,121.0,14,25.4
2.7,149.0,15,25.7
2.2,120.0,16,27.2
2.9,155.0,17,27.0
3.4,172.0,18,24.5
3.9,177.0,19,23.7
3.6,181.0,20,21.5
2.5,135.0,21,19.9
1.8,99.0,22,18.9
2.0,111.0,23,17.9
1.3,72.0,00,17.4
1.0,54.0,01,18.1
0.6,41.0,02,16.5
0.5,29.0,05,16.3
1.1,76.0,06,13.9
5.5,321.0,07,15.0
4.2,274.0,08,16.1
4.6,322.0,09,19.3
3.4,255.0,10,24.2
2.8,196.0,11,26.7
2.5,136.0,12,27.4
2.4,119.0,13,28.1
3.2,169.0,14,27.7
3.5,197.0,15,28.4
2.9,140.0,16,28.4
3.6,178.0,17,27.3
4.8,223.0,18,24.3
5.4,222.0,19,23.1
5.3,265.0,20,21.8
2.7,151.0,21,19.8
1.4,79.0,22,19.6
1.6,87.0,23,17.9
1.5,88.0,00,17.4
1.0,51.0,01,16.8
0.6,34.0,02,15.9
0.8,76.0,05,13.3
1.5,139.0,06,12.9
4.9,293.0,07,14.8
7.2,368.0,08,16.1
3.5,250.0,09,18.6
2.1,145.0,10,23.8
1.5,110.0,11,25.4
2.0,104.0,12,25.6
3.8,205.0,13,24.9
3.4,201.0,14,22.4
4.4,266.0,15,21.7
3.9,246.0,16,21.4
4.9,247.0,17,20.8
5.4,271.0,18,20.2
6.5,332.0,19,20.2
4.3,245.0,20,18.6
2.9,180.0,21,18.2
2.7,156.0,22,17.8
2.8,172.0,23,17.0
2.3,137.0,00,16.2
1.7,91.0,01,15.7
1.2,80.0,02,15.7
0.8,68.0,05,15.7
1.7,162.0,06,15.9
3.0,213.0,07,16.6
3.4,161.0,08,18.7
3.3,209.0,09,17.6
2.7,191.0,10,16.3
2.6,215.0,11,16.0
3.2,212.0,12,17.3
3.4,202.0,13,19.4
2.6,153.0,14,21.4
3.4,185.0,15,22.7
4.0,210.0,16,20.9
4.5,215.0,17,21.0
4.2,215.0,18,20.8
5.7,281.0,19,19.8
4.4,254.0,20,19.1
3.1,189.0,21,18.2
3.0,174.0,22,18.1
3.1,167.0,23,17.7
3.5,185.0,00,17.8
2.4,129.0,01,17.3
1.6,85.0,02,16.5
0.6,24.0,05,16.7
0.7,30.0,06,16.7
1.2,75.0,07,16.9
1.5,79.0,08,17.7
1.8,104.0,09,19.4
2.1,118.0,10,21.6
1.9,105.0,11,24.6
2.0,101.0,12,26.0
1.3,65.0,13,25.6
1.3,59.0,14,24.8
1.8,80.0,15,26.1
2.0,98.0,16,25.5
1.8,89.0,17,23.7
2.4,114.0,18,22.3
4.0,195.0,19,20.7
2.8,156.0,20,19.0
2.0,109.0,21,17.8
3.6,184.0,22,17.4
3.7,190.0,23,17.6
2.3,105.0,00,17.2
1.8,76.0,01,17.1
0.9,38.0,02,16.4
0.6,33.0,05,14.7
0.7,57.0,06,13.1
0.8,48.0,07,14.3
1.2,87.0,08,16.0
1.4,94.0,09,17.7
1.6,89.0,10,21.3
1.3,78.0,11,23.6
1.3,72.0,12,24.3
1.1,64.0,13,24.4
1.2,70.0,14,24.6
1.5,92.0,15,23.9
1.1,69.0,16,25.9
1.9,131.0,17,24.5
2.3,144.0,18,22.6
3.3,209.0,19,21.2
2.6,170.0,20,19.9
2.2,152.0,21,19.4
2.3,171.0,22,19.4
2.0,153.0,23,19.1
1.6,97.0,00,18.0
0.8,37.0,01,17.6
0.6,26.0,02,16.4
0.7,61.0,05,15.8
1.3,152.0,06,16.0
3.4,283.0,07,16.8
4.7,320.0,08,16.9
3.4,318.0,09,17.4
2.5,201.0,10,21.4
2.0,135.0,11,23.9
1.9,127.0,12,26.8
1.7,102.0,13,28.4
1.4,74.0,14,30.3
1.5,81.0,15,30.9
2.4,129.0,16,30.2
3.9,190.0,17,26.4
4.2,192.0,18,24.9
3.7,163.0,19,23.5
3.2,149.0,20,19.3
2.0,119.0,21,18.7
1.1,61.0,22,19.5
1.5,84.0,23,18.9
1.3,79.0,00,18.4
1.0,58.0,01,16.4
0.6,32.0,02,16.1
0.6,49.0,05,15.7
1.9,180.0,06,16.0
4.5,302.0,07,16.6
4.3,258.0,08,16.1
3.2,192.0,09,17.7
1.3,84.0,10,20.3
2.2,128.0,11,21.2
2.6,145.0,12,21.5
